AbsT,RelH
2016-03-29 14:30:15,45.41
2016-03-29 14:30:20,45.37
2016-03-29 14:30:25,45.571999999999996
2016-03-29 14:30:30,45.653
2016-03-29 14:30:35,45.653
2016-03-29 14:30:40,45.611999999999995
2016-03-29 14:30:45,45.571999999999996
2016-03-29 14:30:50,45.491
2016-03-29 14:30:55,45.41
2016-03-29 14:31:00,45.37
2016-03-29 14:31:05,45.32899999999999
2016-03-29 14:31:10,45.37
2016-03-29 14:31:15,45.37
2016-03-29 14:31:20,45.37
2016-03-29 14:31:25,45.41
2016-03-29 14:31:30,45.43
2016-03-29 14:31:35,45.41
2016-03-29 14:31:40,45.32899999999999
2016-03-29 14:31:45,45.41
2016-03-29 14:31:50,45.41
2016-03-29 14:31:55,45.592
2016-03-29 14:32:00,45.49100000000001
2016-03-29 14:32:05,45.41
2016-03-29 14:32:10,45.41
2016-03-29 14:32:15,45.532
2016-03-29 14:32:20,45.5315
2016-03-29 14:32:25,45.49100000000001
2016-03-29 14:32:30,45.571999999999996
2016-03-29 14:32:35,45.632999999999996
2016-03-29 14:32:40,45.571999999999996
2016-03-29 14:32:45,45.49100000000001
2016-03-29 14:32:50,45.49100000000001
2016-03-29 14:32:55,45.6125
2016-03-29 14:33:00,45.571999999999996
2016-03-29 14:33:05,45.532
2016-03-29 14:33:10,45.49100000000001
2016-03-29 14:33:15,45.43
2016-03-29 14:33:20,45.49100000000001
2016-03-29 14:33:25,45.41
2016-03-29 14:33:30,45.308499999999995
2016-03-29 14:33:35,45.32899999999999
2016-03-29 14:33:40,45.32899999999999
2016-03-29 14:33:45,45.32899999999999
2016-03-29 14:33:50,45.248000000000005
2016-03-29 14:33:55,45.248000000000005
2016-03-29 14:34:00,45.288000000000004
2016-03-29 14:34:05,45.32899999999999
2016-03-29 14:34:10,45.32899999999999
2016-03-29 14:34:15,45.32899999999999
2016-03-29 14:34:20,45.288000000000004
2016-03-29 14:34:25,45.248000000000005
2016-03-29 14:34:30,45.288000000000004
2016-03-29 14:34:35,45.32899999999999
2016-03-29 14:34:40,45.32899999999999
2016-03-29 14:34:45,45.32899999999999
2016-03-29 14:34:50,45.268
2016-03-29 14:34:55,45.288000000000004
2016-03-29 14:35:00,45.288000000000004
2016-03-29 14:35:05,45.32899999999999
2016-03-29 14:35:10,45.32899999999999
2016-03-29 14:35:15,45.288000000000004
2016-03-29 14:35:20,45.288000000000004
2016-03-29 14:35:25,45.32899999999999
2016-03-29 14:35:30,45.32899999999999
2016-03-29 14:35:35,45.32899999999999
2016-03-29 14:35:40,45.32899999999999
2016-03-29 14:35:45,45.32899999999999
