,AbsT,Temp,RelH,L1,L2,Occ,Act,Door,Win
147,2016-03-15 08:59:40,20.485,42.373,191.43,512.9,0.0,0.0,0,0
148,2016-03-15 08:59:45,20.48,42.373,188.57,501.4,0.0,0.0,0,0
149,2016-03-15 08:59:50,20.49,42.373,191.43,510.6,0.0,0.0,0,0
150,2016-03-15 08:59:55,20.495,42.393,190.715,512.9000000000001,0.0,0.0,0,0
151,2016-03-15 09:00:00,20.48,42.373,190.0,510.6,0.0,0.0,0,0
152,2016-03-15 09:00:05,20.49,42.413,190.0,510.6,0.0,0.0,0,0
153,2016-03-15 09:00:10,20.48,42.413,188.57,506.0,0.0,0.0,0,0
154,2016-03-15 09:00:15,20.49,42.373,191.43,510.6,0.0,0.0,0,0
155,2016-03-15 09:00:20,20.485,42.393,191.43,508.3,0.0,0.0,0,0
156,2016-03-15 09:00:25,20.49,42.413,188.57,506.0,0.0,0.0,0,0
157,2016-03-15 09:00:30,20.49,42.373,190.0,510.6,0.0,0.0,0,0
158,2016-03-15 09:00:35,20.48,42.413,190.0,510.6,0.0,0.0,0,0
159,2016-03-15 09:00:40,20.48,42.413,188.57,510.6,0.0,0.0,0,0
160,2016-03-15 09:00:45,20.49,42.413,190.0,515.2,0.0,0.0,0,0
161,2016-03-15 09:00:50,20.48,42.413,190.0,515.2,0.0,0.0,0,0
162,2016-03-15 09:00:55,20.49,42.413,187.14,524.4,0.0,0.0,0,0
163,2016-03-15 09:01:00,20.485,42.393,190.715,512.9000000000001,0.0,0.0,0,0
164,2016-03-15 09:01:05,20.48,42.413,188.57,510.6,0.0,0.0,0,0
165,2016-03-15 09:01:10,20.48,42.413,192.86,515.2,0.0,0.0,0,0
166,2016-03-15 09:01:15,20.48,42.413,190.0,515.2,0.0,0.0,0,0
167,2016-03-15 09:01:20,20.495,42.373,190.0,515.2,0.0,0.0,0,0
168,2016-03-15 09:01:25,20.49,42.373,191.43,519.8,0.0,0.0,0,0
169,2016-03-15 09:01:30,20.5,42.373,190.0,515.2,0.0,0.0,0,0
170,2016-03-15 09:01:35,20.49,42.373,190.0,515.2,0.0,0.0,0,0
171,2016-03-15 09:01:40,20.5,42.373,192.855,522.0999999999999,0.0,0.0,0,0
172,2016-03-15 09:01:45,20.5,42.373,191.43,515.2,0.0,0.0,0,0
173,2016-03-15 09:01:50,20.5,42.373,192.86,510.6,0.0,0.0,0,0
174,2016-03-15 09:01:55,20.5,42.373,191.43,519.8,0.0,0.0,0,0
175,2016-03-15 09:02:00,20.49,42.373,190.715,524.4,0.0,0.0,0,0
176,2016-03-15 09:02:05,20.49,42.413,194.29,519.8,0.0,0.0,0,0
177,2016-03-15 09:02:10,20.5,42.373,191.43,515.2,0.0,0.0,0,0
178,2016-03-15 09:02:15,20.48,42.373,191.43,519.8,0.0,0.0,0,0
179,2016-03-15 09:02:20,20.49,42.413,192.86,526.7,0.0,0.0,0,0
180,2016-03-15 09:02:25,20.5,42.413,191.43,519.8,0.0,0.0,0,0
181,2016-03-15 09:02:30,20.5003380215668,42.40056139009202,190.8262234362091,516.5759094424578,2.571990630385815e-157,-6.891613918651261e-158,0,0
182,2016-03-15 09:02:35,20.495,42.393,190.715,517.5,0.0,0.0,0,0
183,2016-03-15 09:02:40,20.49,42.393,190.0,517.5,0.0,0.0,0,0
184,2016-03-15 09:02:45,20.49469906450197,42.39224664930116,190.3187784032197,517.5224246535475,3.991533443472125e-156,-1.069525958252348e-156,0,0
185,2016-03-15 09:02:50,20.5,42.393,191.43,519.8,0.0,0.0,0,0
186,2016-03-15 09:02:55,20.5,42.393,192.145,524.4,0.0,0.0,0,0
187,2016-03-15 09:03:00,20.51,42.373,191.43,524.4,0.0,0.0,0,0
188,2016-03-15 09:03:05,20.51,42.373,191.43,519.8,0.0,0.0,0,0
189,2016-03-15 09:03:10,20.5,42.413,191.43,519.8,0.0,0.0,0,0
190,2016-03-15 09:03:15,20.51,42.373,192.86,519.8,0.0,0.0,0,0
191,2016-03-15 09:03:20,20.505,42.373,192.145,522.0999999999999,0.0,0.0,0,0
192,2016-03-15 09:03:25,20.5,42.373,192.86,519.8,0.0,0.0,0,0
193,2016-03-15 09:03:30,20.51,42.373,188.57,519.8,0.0,0.0,0,0
194,2016-03-15 09:03:35,20.5,42.373,191.43,519.8,0.0,0.0,0,0
195,2016-03-15 09:03:40,20.5,42.393,191.43,522.0999999999999,0.0,0.0,0,0
196,2016-03-15 09:03:45,20.5,42.373,191.43,524.4,0.0,0.0,0,0
197,2016-03-15 09:03:50,20.5,42.373,190.0,515.2,0.0,0.0,0,0
198,2016-03-15 09:03:55,20.52,42.373,191.43,519.8,0.0,0.0,0,0
199,2016-03-15 09:04:00,20.51,42.373,191.43,519.8,0.0,0.0,0,0
200,2016-03-15 09:04:05,20.52,42.373,191.43,519.8,0.0,0.0,0,0
201,2016-03-15 09:04:10,20.5,42.373,191.43,519.8,0.0,0.0,0,0
202,2016-03-15 09:04:15,20.51,42.413,192.86,524.4,0.0,0.0,0,0
203,2016-03-15 09:04:20,20.505,42.373,190.715,517.5,0.0,0.0,0,0
204,2016-03-15 09:04:25,20.5,42.373,192.86,515.2,0.0,0.0,0,0
205,2016-03-15 09:04:30,20.5,42.373,191.43,515.2,0.0,0.0,0,0
206,2016-03-15 09:04:35,20.51,42.35250000000001,192.145,515.2,0.0,0.0,0,0
207,2016-03-15 09:04:40,20.50874884057228,42.3581604565689,192.3706270390908,519.8642847553385,1.695566867300095e-143,-4.543248363597811e-144,0,0
208,2016-03-15 09:04:45,20.505,42.373,190.715,517.5,0.0,0.0,0,0
209,2016-03-15 09:04:50,20.51,42.373,188.57,506.0,0.0,0.0,0,0
210,2016-03-15 09:04:55,20.51,42.373,190.0,515.2,0.0,0.0,0,0
211,2016-03-15 09:05:00,20.51,42.35250000000001,190.0,510.6,0.0,0.0,0,0
212,2016-03-15 09:05:05,20.52,42.332,190.0,510.6,0.0,0.0,0,0
213,2016-03-15 09:05:10,20.51,42.373,190.0,510.6,0.0,0.0,0,0
214,2016-03-15 09:05:15,20.52,42.373,187.14,510.6,0.0,0.0,0,0
215,2016-03-15 09:05:20,20.525,42.373,190.0,510.6,0.0,0.0,0,0
216,2016-03-15 09:05:25,20.52,42.373,190.0,510.6,0.0,0.0,0,0
217,2016-03-15 09:05:30,20.52,42.373,190.0,510.6,0.0,0.0,0,0
218,2016-03-15 09:05:35,20.52,42.373,189.285,508.3,0.0,0.0,0,0
219,2016-03-15 09:05:40,20.51,42.373,188.57,496.8,0.0,0.0,0,0
220,2016-03-15 09:05:45,20.52,42.332,187.14,506.0,0.0,0.0,0,0
221,2016-03-15 09:05:50,20.52,42.373,191.43,519.8,0.0,0.0,0,0
222,2016-03-15 09:05:55,20.52,42.373,190.0,510.6,0.0,0.0,0,0
223,2016-03-15 09:06:00,20.52,42.35250000000001,189.285,508.3,0.0,0.0,0,0
224,2016-03-15 09:06:05,20.51,42.332,190.0,510.6,0.0,0.0,0,0
225,2016-03-15 09:06:10,20.52,42.373,190.0,510.6,0.0,0.0,0,0
226,2016-03-15 09:06:15,20.52,42.373,187.14,510.6,0.0,0.0,0,0
227,2016-03-15 09:06:20,20.525,42.332,190.0,508.3,0.0,0.0,0,0
228,2016-03-15 09:06:25,20.53,42.332,190.0,510.6,0.0,0.0,0,0
229,2016-03-15 09:06:30,20.53,42.332,190.0,515.2,0.0,0.0,0,0
