AbsT,Temp
2016-03-15 11:01:10,21.12
2016-03-15 11:01:15,21.13
2016-03-15 11:01:20,21.12
2016-03-15 11:01:25,21.13
2016-03-15 11:01:30,21.12
2016-03-15 11:01:35,21.12
2016-03-15 11:01:40,21.13
2016-03-15 11:01:45,21.12
2016-03-15 11:01:50,21.125
2016-03-15 11:01:55,21.11
2016-03-15 11:02:00,21.12
2016-03-15 11:02:05,21.12
2016-03-15 11:02:10,21.12
2016-03-15 11:02:15,21.12
2016-03-15 11:02:20,21.12
2016-03-15 11:02:25,21.12
2016-03-15 11:02:30,21.12
2016-03-15 11:02:35,21.12
2016-03-15 11:02:40,21.12
2016-03-15 11:02:45,21.12
2016-03-15 11:02:50,21.12
2016-03-15 11:02:55,21.12
2016-03-15 11:03:00,21.12
2016-03-15 11:03:05,21.12
2016-03-15 11:03:10,21.12
2016-03-15 11:03:15,21.12
2016-03-15 11:03:20,21.12
2016-03-15 11:03:25,21.12
2016-03-15 11:03:30,21.125
2016-03-15 11:03:35,21.12
2016-03-15 11:03:40,21.12
2016-03-15 11:03:45,21.12255080383605
2016-03-15 11:03:50,21.12531663305278
2016-03-15 11:03:55,21.12793203350461
2016-03-15 11:04:00,21.130031551045967
2016-03-15 11:04:05,21.131249731531252
2016-03-15 11:04:10,21.131221120814878
2016-03-15 11:04:15,21.12958026475127
2016-03-15 11:04:20,21.12596170919484
2016-03-15 11:04:25,21.12
2016-03-15 11:04:30,21.115
2016-03-15 11:04:35,21.12
2016-03-15 11:04:40,21.12
2016-03-15 11:04:45,21.12
2016-03-15 11:04:50,21.12
2016-03-15 11:04:55,21.12
2016-03-15 11:05:00,21.12
2016-03-15 11:05:05,21.11
2016-03-15 11:05:10,21.115
2016-03-15 11:05:15,21.11
2016-03-15 11:05:20,21.11
2016-03-15 11:05:25,21.12
2016-03-15 11:05:30,21.115
2016-03-15 11:05:35,21.11
2016-03-15 11:05:40,21.12
2016-03-15 11:05:45,21.12
2016-03-15 11:05:50,21.12
2016-03-15 11:05:55,21.11
2016-03-15 11:06:00,21.12
2016-03-15 11:06:05,21.12
2016-03-15 11:06:10,21.12
2016-03-15 11:06:15,21.12
2016-03-15 11:06:20,21.12
2016-03-15 11:06:25,21.12
2016-03-15 11:06:30,21.12
2016-03-15 11:06:35,21.12
2016-03-15 11:06:40,21.11
2016-03-15 11:06:45,21.1
2016-03-15 11:06:50,21.11
2016-03-15 11:06:55,21.1
2016-03-15 11:07:00,21.11
2016-03-15 11:07:05,21.11
2016-03-15 11:07:10,21.11
2016-03-15 11:07:15,21.12
2016-03-15 11:07:20,21.12
2016-03-15 11:07:25,21.11
2016-03-15 11:07:30,21.12
2016-03-15 11:07:35,21.115
2016-03-15 11:07:40,21.1
2016-03-15 11:07:45,21.12
2016-03-15 11:07:50,21.11
2016-03-15 11:07:55,21.11
2016-03-15 11:08:00,21.12
2016-03-15 11:08:05,21.11
2016-03-15 11:08:10,21.11
2016-03-15 11:08:15,21.115
2016-03-15 11:08:20,21.11
2016-03-15 11:08:25,21.11
2016-03-15 11:08:30,21.12
2016-03-15 11:08:35,21.11
2016-03-15 11:08:40,21.12
2016-03-15 11:08:45,21.11
2016-03-15 11:08:50,21.12
2016-03-15 11:08:55,21.12
2016-03-15 11:09:00,21.1
2016-03-15 11:09:05,21.1
2016-03-15 11:09:10,21.12
2016-03-15 11:09:15,21.115
2016-03-15 11:09:20,21.11
2016-03-15 11:09:25,21.11
2016-03-15 11:09:30,21.11
2016-03-15 11:09:35,21.12
2016-03-15 11:09:40,21.11
2016-03-15 11:09:45,21.1
2016-03-15 11:09:50,21.1
2016-03-15 11:09:55,21.115
2016-03-15 11:10:00,21.1
2016-03-15 11:10:05,21.12
2016-03-15 11:10:10,21.11
2016-03-15 11:10:15,21.115
2016-03-15 11:10:20,21.11
2016-03-15 11:10:25,21.11
2016-03-15 11:10:30,21.115
2016-03-15 11:10:35,21.12
2016-03-15 11:10:40,21.11
2016-03-15 11:10:45,21.12
2016-03-15 11:10:50,21.11
2016-03-15 11:10:55,21.11
2016-03-15 11:11:00,21.1
2016-03-15 11:11:05,21.11
2016-03-15 11:11:10,21.115
2016-03-15 11:11:15,21.12
2016-03-15 11:11:20,21.12
2016-03-15 11:11:25,21.11
2016-03-15 11:11:30,21.12
2016-03-15 11:11:35,21.12
2016-03-15 11:11:40,21.11
2016-03-15 11:11:45,21.11
2016-03-15 11:11:50,21.12
2016-03-15 11:11:55,21.11
2016-03-15 11:12:00,21.1
2016-03-15 11:12:05,21.12
2016-03-15 11:12:10,21.105
2016-03-15 11:12:15,21.11
2016-03-15 11:12:20,21.12
2016-03-15 11:12:25,21.12
2016-03-15 11:12:30,21.11
2016-03-15 11:12:35,21.11
2016-03-15 11:12:40,21.12
2016-03-15 11:12:45,21.12
2016-03-15 11:12:50,21.11
2016-03-15 11:12:55,21.11
2016-03-15 11:13:00,21.11
2016-03-15 11:13:05,21.11
2016-03-15 11:13:10,21.1
2016-03-15 11:13:15,21.11
2016-03-15 11:13:20,21.11
2016-03-15 11:13:25,21.11
2016-03-15 11:13:30,21.11
2016-03-15 11:13:35,21.1
2016-03-15 11:13:40,21.11
2016-03-15 11:13:45,21.11
2016-03-15 11:13:50,21.105
2016-03-15 11:13:55,21.11
2016-03-15 11:14:00,21.1
2016-03-15 11:14:05,21.11
2016-03-15 11:14:10,21.11
2016-03-15 11:14:15,21.1
2016-03-15 11:14:20,21.11
2016-03-15 11:14:25,21.11
2016-03-15 11:14:30,21.1
2016-03-15 11:14:35,21.1
2016-03-15 11:14:40,21.11
2016-03-15 11:14:45,21.1
2016-03-15 11:14:50,21.1
2016-03-15 11:14:55,21.1
2016-03-15 11:15:00,21.1
2016-03-15 11:15:05,21.1
2016-03-15 11:15:10,21.095
2016-03-15 11:15:15,21.1
2016-03-15 11:15:20,21.11
2016-03-15 11:15:25,21.11
2016-03-15 11:15:30,21.1
2016-03-15 11:15:35,21.1
2016-03-15 11:15:40,21.11
2016-03-15 11:15:45,21.1
2016-03-15 11:15:50,21.1
2016-03-15 11:15:55,21.1
2016-03-15 11:16:00,21.1
2016-03-15 11:16:05,21.1
2016-03-15 11:16:10,21.1
2016-03-15 11:16:15,21.1
2016-03-15 11:16:20,21.1
2016-03-15 11:16:25,21.1
2016-03-15 11:16:30,21.1
2016-03-15 11:16:35,21.1
2016-03-15 11:16:40,21.1
2016-03-15 11:16:45,21.1
2016-03-15 11:16:50,21.1
2016-03-15 11:16:55,21.1
2016-03-15 11:17:00,21.1
2016-03-15 11:17:05,21.11
2016-03-15 11:17:10,21.1
2016-03-15 11:17:15,21.1
2016-03-15 11:17:20,21.1
2016-03-15 11:17:25,21.1
2016-03-15 11:17:30,21.11
2016-03-15 11:17:35,21.1
2016-03-15 11:17:40,21.1
2016-03-15 11:17:45,21.1
2016-03-15 11:17:50,21.095
2016-03-15 11:17:55,21.1
2016-03-15 11:18:00,21.1
2016-03-15 11:18:05,21.1
2016-03-15 11:18:10,21.105
2016-03-15 11:18:15,21.11
2016-03-15 11:18:20,21.1
2016-03-15 11:18:25,21.1
2016-03-15 11:18:30,21.105
2016-03-15 11:18:35,21.1
2016-03-15 11:18:40,21.11
2016-03-15 11:18:45,21.1
2016-03-15 11:18:50,21.105
2016-03-15 11:18:55,21.11
2016-03-15 11:19:00,21.09
2016-03-15 11:19:05,21.1
2016-03-15 11:19:10,21.105
2016-03-15 11:19:15,21.11
2016-03-15 11:19:20,21.1
2016-03-15 11:19:25,21.11
2016-03-15 11:19:30,21.105
2016-03-15 11:19:35,21.1
2016-03-15 11:19:40,21.1
2016-03-15 11:19:45,21.11
2016-03-15 11:19:50,21.1
2016-03-15 11:19:55,21.105
2016-03-15 11:20:00,21.12
2016-03-15 11:20:05,21.11
2016-03-15 11:20:10,21.105
2016-03-15 11:20:15,21.1
2016-03-15 11:20:20,21.1
2016-03-15 11:20:25,21.12
2016-03-15 11:20:30,21.105
2016-03-15 11:20:35,21.11
2016-03-15 11:20:40,21.11
2016-03-15 11:20:45,21.1
2016-03-15 11:20:50,21.105
2016-03-15 11:20:55,21.1
2016-03-15 11:21:00,21.1
2016-03-15 11:21:05,21.1
2016-03-15 11:21:10,21.11
2016-03-15 11:21:15,21.105
2016-03-15 11:21:20,21.1
2016-03-15 11:21:25,21.1
2016-03-15 11:21:30,21.11
2016-03-15 11:21:35,21.1
2016-03-15 11:21:40,21.1
2016-03-15 11:21:45,21.1
2016-03-15 11:21:50,21.105
2016-03-15 11:21:55,21.1
2016-03-15 11:22:00,21.1
2016-03-15 11:22:05,21.1
2016-03-15 11:22:10,21.1
2016-03-15 11:22:15,21.1
2016-03-15 11:22:20,21.11
2016-03-15 11:22:25,21.1
2016-03-15 11:22:30,21.11
2016-03-15 11:22:35,21.1
2016-03-15 11:22:40,21.12
2016-03-15 11:22:45,21.1
2016-03-15 11:22:50,21.11
2016-03-15 11:22:55,21.1
2016-03-15 11:23:00,21.1
2016-03-15 11:23:05,21.11
2016-03-15 11:23:10,21.11
2016-03-15 11:23:15,21.1
2016-03-15 11:23:20,21.11
2016-03-15 11:23:25,21.1
2016-03-15 11:23:30,21.105
2016-03-15 11:23:35,21.12
2016-03-15 11:23:40,21.11
2016-03-15 11:23:45,21.11
2016-03-15 11:23:50,21.1
2016-03-15 11:23:55,21.105
2016-03-15 11:24:00,21.1
2016-03-15 11:24:05,21.11
2016-03-15 11:24:10,21.11
2016-03-15 11:24:15,21.12
2016-03-15 11:24:20,21.11
2016-03-15 11:24:25,21.11
2016-03-15 11:24:30,21.11
2016-03-15 11:24:35,21.12
2016-03-15 11:24:40,21.11
2016-03-15 11:24:45,21.11
2016-03-15 11:24:50,21.105
2016-03-15 11:24:55,21.11
2016-03-15 11:25:00,21.1
2016-03-15 11:25:05,21.1
2016-03-15 11:25:10,21.11
2016-03-15 11:25:15,21.115
2016-03-15 11:25:20,21.11
2016-03-15 11:25:25,21.12
2016-03-15 11:25:30,21.12
2016-03-15 11:25:35,21.115
2016-03-15 11:25:40,21.1
2016-03-15 11:25:45,21.11
2016-03-15 11:25:50,21.11
2016-03-15 11:25:55,21.12
2016-03-15 11:26:00,21.11
2016-03-15 11:26:05,21.11
2016-03-15 11:26:10,21.12
2016-03-15 11:26:15,21.11
2016-03-15 11:26:20,21.11
2016-03-15 11:26:25,21.11
2016-03-15 11:26:30,21.12
2016-03-15 11:26:35,21.115
2016-03-15 11:26:40,21.1
2016-03-15 11:26:45,21.12
2016-03-15 11:26:50,21.11
2016-03-15 11:26:55,21.115
2016-03-15 11:27:00,21.11
2016-03-15 11:27:05,21.1
2016-03-15 11:27:10,21.11
2016-03-15 11:27:15,21.11
2016-03-15 11:27:20,21.11
2016-03-15 11:27:25,21.1
2016-03-15 11:27:30,21.11
2016-03-15 11:27:35,21.12
2016-03-15 11:27:40,21.11
2016-03-15 11:27:45,21.11
2016-03-15 11:27:50,21.12
2016-03-15 11:27:55,21.12
2016-03-15 11:28:00,21.11
2016-03-15 11:28:05,21.11
2016-03-15 11:28:10,21.115
2016-03-15 11:28:15,21.12
2016-03-15 11:28:20,21.12
2016-03-15 11:28:25,21.11
2016-03-15 11:28:30,21.11
2016-03-15 11:28:35,21.12
2016-03-15 11:28:40,21.11
2016-03-15 11:28:45,21.11
2016-03-15 11:28:50,21.12
2016-03-15 11:28:55,21.115
2016-03-15 11:29:00,21.11
2016-03-15 11:29:05,21.12
2016-03-15 11:29:10,21.115
2016-03-15 11:29:15,21.11
2016-03-15 11:29:20,21.11
2016-03-15 11:29:25,21.11
2016-03-15 11:29:30,21.12
2016-03-15 11:29:35,21.12
2016-03-15 11:29:40,21.1
2016-03-15 11:29:45,21.12
2016-03-15 11:29:50,21.12
2016-03-15 11:29:55,21.11
2016-03-15 11:30:00,21.11
2016-03-15 11:30:05,21.11
2016-03-15 11:30:10,21.115
2016-03-15 11:30:15,21.11
2016-03-15 11:30:20,21.1
2016-03-15 11:30:25,21.11
2016-03-15 11:30:30,21.105
2016-03-15 11:30:35,21.12
2016-03-15 11:30:40,21.11
2016-03-15 11:30:45,21.1
2016-03-15 11:30:50,21.11
2016-03-15 11:30:55,21.105
2016-03-15 11:31:00,21.12
2016-03-15 11:31:05,21.12
2016-03-15 11:31:10,21.12
2016-03-15 11:31:15,21.11
