AbsT,0
2016-03-15 09:08:30,True
2016-03-15 09:08:35,True
2016-03-15 09:08:40,True
2016-03-15 09:08:45,True
2016-03-15 09:08:50,True
2016-03-15 09:08:55,True
2016-03-15 09:09:00,True
2016-03-15 09:09:05,True
2016-03-15 09:09:10,True
2016-03-15 09:09:15,False
2016-03-15 09:09:20,False
2016-03-15 09:09:25,False
2016-03-15 09:09:30,False
2016-03-15 09:09:35,False
2016-03-15 09:09:40,False
2016-03-15 09:09:45,False
2016-03-15 09:09:50,False
2016-03-15 09:09:55,False
2016-03-15 09:10:00,False
2016-03-15 09:10:05,False
2016-03-15 09:10:10,False
2016-03-15 09:10:15,False
2016-03-15 09:10:20,False
2016-03-15 09:10:25,False
2016-03-15 09:10:30,False
2016-03-15 09:10:35,False
2016-03-15 09:10:40,False
2016-03-15 09:10:45,False
2016-03-15 09:10:50,False
2016-03-15 09:10:55,False
2016-03-15 09:11:00,False
2016-03-15 09:11:05,False
2016-03-15 09:11:10,False
2016-03-15 09:11:15,False
2016-03-15 09:11:20,False
2016-03-15 09:11:25,False
2016-03-15 09:11:30,False
2016-03-15 09:11:35,False
2016-03-15 09:11:40,False
2016-03-15 09:11:45,False
2016-03-15 09:11:50,False
2016-03-15 09:11:55,False
2016-03-15 09:12:00,False
2016-03-15 09:12:05,False
2016-03-15 09:12:10,False
2016-03-15 09:12:15,False
2016-03-15 09:12:20,False
2016-03-15 09:12:25,False
2016-03-15 09:12:30,False
2016-03-15 09:12:35,False
2016-03-15 09:12:40,False
2016-03-15 09:12:45,False
2016-03-15 09:12:50,False
2016-03-15 09:12:55,False
2016-03-15 09:13:00,False
2016-03-15 09:13:05,False
2016-03-15 09:13:10,False
2016-03-15 09:13:15,False
2016-03-15 09:13:20,False
2016-03-15 09:13:25,False
2016-03-15 09:13:30,False
2016-03-15 09:13:35,False
2016-03-15 09:13:40,False
2016-03-15 09:13:45,False
2016-03-15 09:13:50,False
2016-03-15 09:13:55,False
2016-03-15 09:14:00,False
2016-03-15 09:14:05,False
2016-03-15 09:14:10,False
2016-03-15 09:14:15,False
2016-03-15 09:14:20,False
2016-03-15 09:14:25,False
2016-03-15 09:14:30,False
2016-03-15 09:14:35,False
2016-03-15 09:14:40,False
2016-03-15 09:14:45,False
2016-03-15 09:14:50,False
2016-03-15 09:14:55,False
2016-03-15 09:15:00,False
2016-03-15 09:15:05,False
2016-03-15 09:15:10,False
2016-03-15 09:15:15,False
2016-03-15 09:15:20,False
2016-03-15 09:15:25,False
2016-03-15 09:15:30,False
2016-03-15 09:15:35,False
2016-03-15 09:15:40,False
2016-03-15 09:15:45,False
2016-03-15 09:15:50,False
2016-03-15 09:15:55,False
2016-03-15 09:16:00,False
2016-03-15 09:16:05,False
2016-03-15 09:16:10,False
2016-03-15 09:16:15,False
2016-03-15 09:16:20,False
2016-03-15 09:16:25,False
2016-03-15 09:16:30,False
2016-03-15 09:16:35,False
2016-03-15 09:16:40,False
2016-03-15 09:16:45,False
2016-03-15 09:16:50,False
2016-03-15 09:16:55,False
2016-03-15 09:17:00,False
2016-03-15 09:17:05,False
2016-03-15 09:17:10,False
2016-03-15 09:17:15,False
2016-03-15 09:17:20,False
2016-03-15 09:17:25,False
2016-03-15 09:17:30,False
2016-03-15 09:17:35,False
2016-03-15 09:17:40,False
2016-03-15 09:17:45,False
2016-03-15 09:17:50,False
2016-03-15 09:17:55,False
2016-03-15 09:18:00,False
2016-03-15 09:18:05,False
2016-03-15 09:18:10,False
2016-03-15 09:18:15,True
2016-03-15 09:18:20,True
2016-03-15 09:18:25,True
2016-03-15 09:18:30,True
2016-03-15 09:18:35,True
2016-03-15 09:18:40,True
2016-03-15 09:18:45,True
2016-03-15 09:18:50,True
2016-03-15 09:18:55,True
2016-03-15 09:19:00,True
2016-03-15 09:19:05,True
2016-03-15 09:19:10,True
2016-03-15 09:19:15,True
2016-03-15 09:19:20,True
2016-03-15 09:19:25,True
2016-03-15 09:19:30,True
2016-03-15 09:19:35,True
2016-03-15 09:19:40,True
2016-03-15 09:19:45,True
2016-03-15 09:19:50,True
2016-03-15 09:19:55,True
2016-03-15 09:20:00,True
2016-03-15 09:20:05,True
2016-03-15 09:20:10,True
2016-03-15 09:20:15,True
2016-03-15 09:20:20,True
2016-03-15 09:20:25,True
2016-03-15 09:20:30,True
2016-03-15 09:20:35,True
2016-03-15 09:20:40,True
2016-03-15 09:20:45,True
2016-03-15 09:20:50,True
2016-03-15 09:20:55,True
2016-03-15 09:21:00,True
2016-03-15 09:21:05,True
2016-03-15 09:21:10,True
2016-03-15 09:21:15,True
2016-03-15 09:21:20,False
2016-03-15 09:21:25,False
2016-03-15 09:21:30,False
2016-03-15 09:21:35,False
2016-03-15 09:21:40,False
2016-03-15 09:21:45,False
2016-03-15 09:21:50,False
2016-03-15 09:21:55,False
2016-03-15 09:22:00,False
2016-03-15 09:22:05,False
