AbsT,status
2016-03-15 09:14:24.360,Off
2016-03-15 09:14:28.997,Off
2016-03-15 09:14:32.466,Off
2016-03-15 09:14:36.331,Off
2016-03-15 09:14:39.945,Off
2016-03-15 09:14:44.060,Off
2016-03-15 09:14:48.675,Off
2016-03-15 09:14:52.031,Off
2016-03-15 09:14:56.645,Off
2016-03-15 09:15:00.260,Off
2016-03-15 09:15:03.999,Off
2016-03-15 09:15:07.989,Off
2016-03-15 09:15:12.355,Off
2016-03-15 09:15:16.219,Off
2016-03-15 09:15:20.338,Off
2016-03-15 09:15:24.828,Off
2016-03-15 09:15:28.942,Off
2016-03-15 09:15:32.683,Off
2016-03-15 09:15:36.548,Off
2016-03-15 09:15:40.162,Off
2016-03-15 09:15:44.278,Off
2016-03-15 09:15:48.767,Off
2016-03-15 09:15:53.247,Off
2016-03-15 09:15:56.112,Off
2016-03-15 09:16:00.351,Off
2016-03-15 09:16:04.216,Off
2016-03-15 09:16:08.831,Off
2016-03-15 09:16:12.186,Off
2016-03-15 09:16:16.934,Off
2016-03-15 09:16:19.917,Off
2016-03-15 09:16:24.551,Off
2016-03-15 09:16:28.271,Off
2016-03-15 09:16:31.885,Off
2016-03-15 09:16:36.001,Off
2016-03-15 09:16:39.865,Off
2016-03-15 09:16:44.980,Off
2016-03-15 09:16:48.210,Off
2016-03-15 09:16:52.825,Off
2016-03-15 09:16:56.566,Off
2016-03-15 09:17:00.555,Off
2016-03-15 09:17:04.545,Off
2016-03-15 09:17:08.660,Off
2016-03-15 09:17:11.900,Off
2016-03-15 09:17:16.140,Off
2016-03-15 09:17:20.129,Off
2016-03-15 09:17:24.494,Off
2016-03-15 09:17:28.859,Off
2016-03-15 09:17:32.349,Off
2016-03-15 09:17:36.588,Off
2016-03-15 09:17:39.954,Off
2016-03-15 09:17:44.694,Off
2016-03-15 09:17:48.684,Off
2016-03-15 09:17:52.798,Off
2016-03-15 09:17:56.414,Off
2016-03-15 09:18:00.153,Off
2016-03-15 09:18:04.519,Off
2016-03-15 09:18:10.008,Off
2016-03-15 09:18:12.123,Off
2016-03-15 09:18:16.119,Off
2016-03-15 09:18:20.343,Off
2016-03-15 09:18:24.832,Off
2016-03-15 09:18:28.322,Off
2016-03-15 09:18:32.312,Off
2016-03-15 09:18:36.427,Off
2016-03-15 09:18:40.417,Off
2016-03-15 09:18:45.032,Off
2016-03-15 09:18:48.022,Off
2016-03-15 09:18:52.137,Off
2016-03-15 09:18:56.502,Off
2016-03-15 09:18:59.866,Off
2016-03-15 09:19:04.606,Off
2016-03-15 09:19:08.096,Off
2016-03-15 09:19:12.713,Off
2016-03-15 09:19:16.328,Off
2016-03-15 09:19:20.318,Off
2016-03-15 09:19:24.808,Off
2016-03-15 09:19:28.805,Off
